account,property_name,amount
Net Operating Income,8304 5th Ave. S.,-47160.620000000024
Net Income,8304 5th Ave. S.,-47160.620000000024
Sale of property,8313 Farley Ave.,190715.87
Total for Income,8313 Farley Ave.,190715.87
Gross Profit,8313 Farley Ave.,190715.87
Cleaning services,8313 Farley Ave.,280
Dumpsters,8313 Farley Ave.,1436.85
Earnest money,8313 Farley Ave.,1000
Labor,8313 Farley Ave.,41100
Materials,8313 Farley Ave.,29120.62
Permits,8313 Farley Ave.,1355
Photography,8313 Farley Ave.,100
Property Insurance,8313 Farley Ave.,716
Property Purchase,8313 Farley Ave.,55201.55
Third Party Vendors,8313 Farley Ave.,23493.75
Total for Expenses,8313 Farley Ave.,153803.77000000002
Net Operating Income,8313 Farley Ave.,36912.09999999998
Net Income,8313 Farley Ave.,36912.09999999998
Sale of property,832 Zellmark Dr,104678.01
Total for Income,832 Zellmark Dr,104678.01
Gross Profit,832 Zellmark Dr,104678.01
Admin Services,832 Zellmark Dr,250
Cleaning services,832 Zellmark Dr,150
Closing Costs,832 Zellmark Dr,1528.6
Dumpsters,832 Zellmark Dr,854.9
Interest Payment,832 Zellmark Dr,2440.02
Labor,832 Zellmark Dr,17700
Materials,832 Zellmark Dr,12361.89
Photography,832 Zellmark Dr,100
Property Insurance,832 Zellmark Dr,3039.25
Third Party Vendors,832 Zellmark Dr,9889.6
Total for Expenses,832 Zellmark Dr,48314.26
Net Operating Income,832 Zellmark Dr,56363.74999999999
Net Income,832 Zellmark Dr,56363.74999999999
Third Party Vendors,8403 5th Ave S,135
Total for Expenses,8403 5th Ave S,135
Net Operating Income,8403 5th Ave S,-135
Net Income,8403 5th Ave S,-135
Sale of property,8491 Clayton Cove,136310.88
Total for Income,8491 Clayton Cove,136310.88
Gross Profit,8491 Clayton Cove,136310.88
Cleaning services,8491 Clayton Cove,150
Closing Costs,8491 Clayton Cove,1868.68
Dumpsters,8491 Clayton Cove,2396.26
Labor,8491 Clayton Cove,36000
Materials,8491 Clayton Cove,26705.66
Third Party Vendors,8491 Clayton Cove,17932.01
Total for Expenses,8491 Clayton Cove,85052.61
Net Operating Income,8491 Clayton Cove,51258.270000000004
Net Income,8491 Clayton Cove,51258.270000000004
Sale of property,8495 Clayton Cove,116604.13
Total for Income,8495 Clayton Cove,116604.13
Gross Profit,8495 Clayton Cove,116604.13
Admin Services,8495 Clayton Cove,300
Cleaning services,8495 Clayton Cove,150
Dumpsters,8495 Clayton Cove,1639.36
Interest Payment,8495 Clayton Cove,3333.34
Labor,8495 Clayton Cove,35000
Materials,8495 Clayton Cove,31202.95
Third Party Vendors,8495 Clayton Cove,32451.6
Total for Expenses,8495 Clayton Cove,104077.25
Net Operating Income,8495 Clayton Cove,12526.880000000005
Mortgage,8495 Clayton Cove,49300.58
Total for Other Income,8495 Clayton Cove,49300.58
Net Other Income,8495 Clayton Cove,49300.58
Net Income,8495 Clayton Cove,61827.46000000001
Labor,8516 Highland Trace,5500
Materials,8516 Highland Trace,2278.87
Total for Expenses,8516 Highland Trace,7778.87
Net Operating Income,8516 Highland Trace,-7778.87
Net Income,8516 Highland Trace,-7778.87
Sale of property,867 Sandlin Dr.,139903.18
Total for Income,867 Sandlin Dr.,139903.18
Gross Profit,867 Sandlin Dr.,139903.18
Dumpsters,867 Sandlin Dr.,2929.67
Labor,867 Sandlin Dr.,23833.9
Materials,867 Sandlin Dr.,19084.22
Permits,867 Sandlin Dr.,120
Property Purchase,867 Sandlin Dr.,26147.64
Third Party Vendors,867 Sandlin Dr.,17238.61
Total for Expenses,867 Sandlin Dr.,89354.04
Net Operating Income,867 Sandlin Dr.,50549.14
Net Income,867 Sandlin Dr.,50549.14
Sale of property,89 Lakshore Rd,258915.38
Total for Income,89 Lakshore Rd,258915.38
Gross Profit,89 Lakshore Rd,258915.38
Cleaning services,89 Lakshore Rd,330
Dumpsters,89 Lakshore Rd,9106.94
Labor,89 Lakshore Rd,47037.33
Materials,89 Lakshore Rd,45455.12
Property Purchase,89 Lakshore Rd,39217.67
Survey,89 Lakshore Rd,2500
Third Party Vendors,89 Lakshore Rd,48561.66
Utilities,89 Lakshore Rd,1362.37
Total for Expenses,89 Lakshore Rd,193571.09
Net Operating Income,89 Lakshore Rd,65344.29000000001
Net Income,89 Lakshore Rd,65344.29000000001
Sale of property,90 Buddy Ln,153103.7
Total for Income,90 Buddy Ln,153103.7
Gross Profit,90 Buddy Ln,153103.7
Cleaning services,90 Buddy Ln,150
Dumpsters,90 Buddy Ln,1007.85
Labor,90 Buddy Ln,23429.05
Materials,90 Buddy Ln,12393.85
Property Purchase,90 Buddy Ln,53965.27
Third Party Vendors,90 Buddy Ln,12260.2
Total for Expenses,90 Buddy Ln,103206.21999999999
Net Operating Income,90 Buddy Ln,49897.480000000025
Net Income,90 Buddy Ln,49897.480000000025
Sale of property,909 Winchester Cir,100962.73
Total for Income,909 Winchester Cir,100962.73
Gross Profit,909 Winchester Cir,100962.73
Cleaning services,909 Winchester Cir,200
Closing Costs,909 Winchester Cir,1607.52
Dumpsters,909 Winchester Cir,1920.6
Interest Payment,909 Winchester Cir,7350
Labor,909 Winchester Cir,19624.13
Materials,909 Winchester Cir,21422.45
Third Party Vendors,909 Winchester Cir,27270.74
Utilities,909 Winchester Cir,1445.53
Total for Expenses,909 Winchester Cir,80840.97
Net Operating Income,909 Winchester Cir,20121.759999999995
Net Income,909 Winchester Cir,20121.759999999995
Sale of property,911 Bagley Ln.,191360.07
Total for Income,911 Bagley Ln.,191360.07
Gross Profit,911 Bagley Ln.,191360.07
Admin Services,911 Bagley Ln.,330
Closing Costs,911 Bagley Ln.,87
Dumpsters,911 Bagley Ln.,4285.73
Labor,911 Bagley Ln.,26300
Materials,911 Bagley Ln.,32225.53
Photography,911 Bagley Ln.,165
Property Purchase,911 Bagley Ln.,150705.01
Third Party Vendors,911 Bagley Ln.,27339.1
Total for Expenses,911 Bagley Ln.,241437.37000000002
Net Operating Income,911 Bagley Ln.,-50077.30000000002
Mortgage,911 Bagley Ln.,110000
Total for Other Income,911 Bagley Ln.,110000
Net Other Income,911 Bagley Ln.,110000
Net Income,911 Bagley Ln.,59922.69999999998
Sale of property,915 Rose Dr.,232899.59
Total for Income,915 Rose Dr.,232899.59
Gross Profit,915 Rose Dr.,232899.59
Admin Services,915 Rose Dr.,600
Attorney Fees,915 Rose Dr.,343.75
Dumpsters,915 Rose Dr.,3161.48
Earnest money,915 Rose Dr.,1000
Labor,915 Rose Dr.,41362.31
Materials,915 Rose Dr.,35874.01
Permits,915 Rose Dr.,1570
Photography,915 Rose Dr.,125
Property Insurance,915 Rose Dr.,967.5
Property Purchase,915 Rose Dr.,105003.88
Third Party Vendors,915 Rose Dr.,45503.24
Total for Expenses,915 Rose Dr.,235511.16999999998
Net Operating Income,915 Rose Dr.,-2611.579999999987
Net Income,915 Rose Dr.,-2611.579999999987
Dumpsters,920 Coupland Rd,541.59
Total for Expenses,920 Coupland Rd,541.59
Net Operating Income,920 Coupland Rd,-541.59
Net Income,920 Coupland Rd,-541.59
Dumpsters,920 Wear Dr,559.68
Earnest money,920 Wear Dr,1500
Interest Payment,920 Wear Dr,3333.32
Labor,920 Wear Dr,18082.03
Materials,920 Wear Dr,15174.81
Property Insurance,920 Wear Dr,1113.24
Third Party Vendors,920 Wear Dr,4256.86
Utilities,920 Wear Dr,802.15
Total for Expenses,920 Wear Dr,44822.09
Net Operating Income,920 Wear Dr,-44822.09
Net Income,920 Wear Dr,-44822.09
Sale of property,925 1st Ave,112114.44
Total for Income,925 1st Ave,112114.44
Gross Profit,925 1st Ave,112114.44
Dumpsters,925 1st Ave,1706.75
Interest Payment,925 1st Ave,3200.01
Labor,925 1st Ave,18905.2
Materials,925 1st Ave,15113.27
Property Purchase,925 1st Ave,161040.72
Third Party Vendors,925 1st Ave,17082
Total for Expenses,925 1st Ave,217047.95
Net Operating Income,925 1st Ave,-104933.51000000001
Mortgage,925 1st Ave,160000
Total for Other Income,925 1st Ave,160000
Net Other Income,925 1st Ave,160000
Net Income,925 1st Ave,55066.48999999999
Sale of property,9311 Dunnavant Valley Rd,185435.72
Total for Income,9311 Dunnavant Valley Rd,185435.72
Gross Profit,9311 Dunnavant Valley Rd,185435.72
Cleaning services,9311 Dunnavant Valley Rd,460
Closing Costs,9311 Dunnavant Valley Rd,6041.25
Dumpsters,9311 Dunnavant Valley Rd,5546.55
Interest Payment,9311 Dunnavant Valley Rd,17500
Labor,9311 Dunnavant Valley Rd,60545
Materials,9311 Dunnavant Valley Rd,72128.24
Property Insurance,9311 Dunnavant Valley Rd,724
Referal Fee,9311 Dunnavant Valley Rd,5000
Staging and Interiors,9311 Dunnavant Valley Rd,6160
Third Party Vendors,9311 Dunnavant Valley Rd,53169.47
Utilities,9311 Dunnavant Valley Rd,2765.76
Total for Expenses,9311 Dunnavant Valley Rd,230040.27000000002
Net Operating Income,9311 Dunnavant Valley Rd,-44604.55000000002
Net Income,9311 Dunnavant Valley Rd,-44604.55000000002
Dumpsters,936 Kathryne Cir,1458.73
Labor,936 Kathryne Cir,24565.79
Materials,936 Kathryne Cir,11060.02
Property Purchase,936 Kathryne Cir,-122570.18
Third Party Vendors,936 Kathryne Cir,14159
Total for Expenses,936 Kathryne Cir,-71326.63999999998
Net Operating Income,936 Kathryne Cir,71326.63999999998
Net Income,936 Kathryne Cir,71326.63999999998
Sale of property,936 Pineview Rd,110045.12
Total for Income,936 Pineview Rd,110045.12
Gross Profit,936 Pineview Rd,110045.12
Dumpsters,936 Pineview Rd,266.51
Property Purchase,936 Pineview Rd,81365.39
Total for Expenses,936 Pineview Rd,81631.9
Net Operating Income,936 Pineview Rd,28413.22
Net Income,936 Pineview Rd,28413.22
Sale of property,9389 Central Rd,209831.5
Total for Income,9389 Central Rd,209831.5
Gross Profit,9389 Central Rd,209831.5
Dumpsters,9389 Central Rd,3912.3
Interest Payment,9389 Central Rd,15469.87
Labor,9389 Central Rd,44175
Materials,9389 Central Rd,37062.78
Property Purchase,9389 Central Rd,160000
Third Party Vendors,9389 Central Rd,14439.8
Utilities,9389 Central Rd,1219.91
Total for Expenses,9389 Central Rd,276279.66
Net Operating Income,9389 Central Rd,-66448.15999999997
Mortgage,9389 Central Rd,263852.31
Total for Other Income,9389 Central Rd,263852.31
Payoff,9389 Central Rd,105280
Total for Other Expenses,9389 Central Rd,105280
Net Other Income,9389 Central Rd,158572.31
Net Income,9389 Central Rd,92124.15000000002
